date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-12 13:30:28,AfDimBundestag,,6,10,57,"Der 12. Mai ist der Internationale Tag der Pflege. Der #AfD-Abgeordnete @Martin_Sichert betont aus diesem Anlass die systemrelevante Bedeutung der häuslichen Pflege – gerade während der derzeitigen #Corona-Krise: ""Häusliche Pflege stärken!"" #Pflegekraefte",,@Martin_Sichert,#AfD #Corona #Pflegekraefte,1260200673314058240,https://twitter.com/AfDimBundestag/status/1260200673314058240
2020-05-12 13:24:56,AfDimBundestag,,6,16,84,"Nach einem #Corona-Ausbruch in einem Schlachtbetrieb in #Coesfeld sollen landesweit alle rund 20.000 Mitarbeiter getestet werden. Dazu @Pohl_MdB: ""#Bundesregierung ignoriert seit Jahren die skandalösen Zustände in der deutschen Fleischwirtschaft!"" #COVID19",,@Pohl_MdB,#Corona #Coesfeld #Bundesregierung #COVID19,1260199281501310979,https://twitter.com/AfDimBundestag/status/1260199281501310979
2020-05-12 12:29:05,Linksfraktion,SZ_Politik,4,4,21,"Pia Zimmermann: Das zarte Pflänzchen Beschäftigten-Anstieg in der Altenpflege drohte bereits vor Corona wieder zu verdorren. Um die Altenpflege attraktiver zu machen, muss der Arbeitsaufwand gesenkt, also mehr Personal mit höheren Löhnen und Tarifverträgen eingestellt werden. ",,,,1260185223444094976,https://twitter.com/Linksfraktion/status/1260185223444094976
2020-05-12 06:14:46,Linksfraktion,,6,22,70,"Heute ist #TagDerPflege. Die Arbeit von Pflegerinnen und Pflegern ist wichtig für unsere Gesellschaft. Sie leisten jetzt, aber auch schon vor der Corona-Krise, Großartiges. Diese Leistung muss gewürdigt werden – jetzt und auch nach derKrise. ",,,#TagDerPflege,1260091026057945088,https://twitter.com/Linksfraktion/status/1260091026057945088
2020-05-11 12:39:58,AfDimBundestag,,16,16,66,"Mehr als 200 Mitarbeiter der Großschlachterei „Westfleisch“ in #Coesfeld im Münsterland sind laut Behördenangaben mit #Corona infiziert. @Pohl_MdB kommentiert: ""Corona offenbart menschenunwürdige Arbeitsbedingungen in der fleischverarbeitenden Industrie!"" ",,@Pohl_MdB,#Coesfeld #Corona,1259825574421413891,https://twitter.com/AfDimBundestag/status/1259825574421413891
2020-05-11 10:46:27,Linksfraktion,,0,1,10,"Steuersparmodelle und Staatshilfen passen nicht zusammen, findet @ernst_klaus » Die Corona-Krise zeigt deutlich, dass der Staat Einfluss auf die Unternehmen braucht, wenn er sich beteiligt.« ",,@ernst_klaus,,1259797009785139200,https://twitter.com/Linksfraktion/status/1259797009785139200
2020-05-11 08:39:20,AfDimBundestag,,77,183,766,"Zur wachsenden Kritik an den deutschlandweiten Demos gegen die #Corona-Maßnahmen von Bund und Ländern teilt der Vorsitzende der #AfD-Fraktion im Deutschen #Bundestag, Alexander #Gauland, mit: ""Meinungs- und Versammlungsfreiheit gilt auch in Krisenzeiten!""",,,#Corona #AfD #Bundestag #Gauland,1259765019149062144,https://twitter.com/AfDimBundestag/status/1259765019149062144
2020-05-08 14:09:06,AfDimBundestag,,58,106,341,"+++Corona-Positionspapier 2: Freiheit und Bürgerrechte wiederherstellen!+++ Die #AfD-Fraktion im Deutschen #Bundestag fordert: ""Soviel Freiheit wie möglich, nicht mehr Einschränkungen als nötig!"" Lesen Sie unser #Corona-Positionspapier: https://www.afdbundestag.de/corona-positionspapier-2-shutdown-sofort-beenden-soviel-freiheit-wie-moeglich-nicht-mehr-einschraenkungen-als-noetig/",,,#AfD #Bundestag #Corona,1258760845204561920,https://twitter.com/AfDimBundestag/status/1258760845204561920
2020-05-07 18:46:21,Linksfraktion,,10,12,41,"»Bei der sozialen Abfederung der Corona-Krise vergisst diese Regierung beständig soziale Hilfen für die Ärmsten unserer Gesellschaft.« @katjakipping stellt unsere Forderungen vor:",,@katjakipping,,1258468229376282629,https://twitter.com/Linksfraktion/status/1258468229376282629
2020-05-07 12:02:03,Linksfraktion,,4,9,25,"»Gesundheitsminister Spahn ist trotz der Corona-Krise nicht bereit, die grundlegenden Probleme in unserer Gesundheitsversorgung anzugehen«, kritisiert @AchimKesslerMdB die Gesundheitspolitik der Bundesregierung. Schluss mit Profitorientierung!",,@AchimKesslerMdB,,1258366482821648384,https://twitter.com/Linksfraktion/status/1258366482821648384
